"geneName","teName","pvalue","coef","padj","pair","kznf_age","te_age","age_c"
"ZNF605","LTR39",0.00996857949396314,-0.46306514272596,0.179341821057422,"ZNF605-LTR39","o","y","o-y"
"ZNF778","MLT1H1-int",0.00319923856003145,-0.520382667818918,0.109463714987161,"ZNF778-MLT1H1-int","y","o","y-o"
"ZNF267","LTR46-int",0.0387920615106262,-0.379161772714895,0.313294552291655,"ZNF267-LTR46-int","y","o","y-o"
"ZNF267","MER88",0.0291996333741448,-0.398432523583066,0.279322147007228,"ZNF267-MER88","y","o","y-o"
"ZNF267","Tigger16a",0.00913148755174742,-0.467847299317234,0.172344717832677,"ZNF267-Tigger16a","y","o","y-o"
"ZNF264","MLT1H1-int",0.00728614778597256,-0.479859415789024,0.156145079443042,"ZNF264-MLT1H1-int","o","o","o-o"
"ZIM3","LTR16D1",0.0278386662406505,-0.401569862035282,0.273938401577105,"ZIM3-LTR16D1","o","o","o-o"
"ZIM3","LTR39",0.02542704720468,-0.407450220109902,0.264263615684482,"ZIM3-LTR39","o","y","o-y"
"ZIM3","LTR5",0.0222741852951522,-0.415868889494197,0.249971615895121,"ZIM3-LTR5","o","y","o-y"
"ZIM3","LTR6A",0.0464741868946952,-0.366333951337801,0.33646444833052,"ZIM3-LTR6A","o","y","o-y"
"ZIM3","MER88",0.0477323838628451,-0.364397272657497,0.33991860001317,"ZIM3-MER88","o","o","o-o"
"ZIM3","X6A_LINE",0.0348623860901915,-0.38653144677622,0.300081903813709,"ZIM3-X6A_LINE","o","o","o-o"
"ZNF761","Arthur1C",0.0204813845511211,-0.421102682857927,0.242161571064547,"ZNF761-Arthur1C","y","o","y-o"
"ZNF224","Arthur1C",0.00276907581469106,-0.527014089926438,0.102993358197318,"ZNF224-Arthur1C","o","o","o-o"
"ZNF224","HERVL74-int",0.00961398582133328,-0.465047933122808,0.176172956857186,"ZNF224-HERVL74-int","o","o","o-o"
"ZNF224","LTR3B",0.0192329051379361,-0.424975078093011,0.236539370901411,"ZNF224-LTR3B","o","y","o-y"
"ZNF224","LTR46-int",0.0210032967851982,-0.419541361387056,0.244120253671689,"ZNF224-LTR46-int","o","o","o-o"
"ZNF224","MER74B",0.0174871444004323,-0.430753931631711,0.227846590385639,"ZNF224-MER74B","o","o","o-o"
"ZNF224","MER88",0.0176721561105844,-0.430119452240436,0.228863820744324,"ZNF224-MER88","o","o","o-o"
"ZNF506","LTR5",0.0178427036667801,-0.429539429450312,0.229589954307141,"ZNF506-LTR5","y","y","y-y"
"ZNF716","Charlie4",0.0203576068811857,-0.421477770772957,0.241655076162997,"ZNF716-Charlie4","y","o","y-o"
"ZNF716","HERVE-int",0.030713608824871,-0.395079182946011,0.284933127386151,"ZNF716-HERVE-int","y","o","y-o"
"ZNF716","LTR16D1",0.00762485135237057,-0.477475199684507,0.159558841816816,"ZNF716-LTR16D1","y","o","y-o"
"ZNF716","LTR2B",0.0237808274441641,-0.411731826710942,0.25681120988085,"ZNF716-LTR2B","y","y","y-y"
"ZNF716","LTR5",0.0148358903702601,-0.440519805651511,0.212765399408808,"ZNF716-LTR5","y","y","y-y"
"ZNF716","X6A_LINE",0.0480462165918593,-0.363920535059702,0.340674312890173,"ZNF716-X6A_LINE","y","o","y-o"
"ZNF7","MLT1H1-int",0.017628513858712,-0.430268621535203,0.228637054105339,"ZNF7-MLT1H1-int","o","o","o-o"
