"geneName","teName","pvalue","coef","padj","pair","kznf_age","te_age","count","repFamily"
"ZNF263","L1MA10",0.0449672889817617,-0.421842036919234,0.205927518581835,"ZNF263-L1MA10","old","old","old-old","L1"
"ZNF263","L1MA5A",0.0459254272356423,-0.420149896558865,0.208291772126754,"ZNF263-L1MA5A","old","old","old-old","L1"
"ZNF263","L1MA7",0.00635819216242777,-0.551635358067073,0.0705322370946227,"ZNF263-L1MA7","old","old","old-old","L1"
"ZNF263","L1P4",0.0499106513739088,-0.413393622688282,0.218166302293414,"ZNF263-L1P4","old","old","old-old","L1"
"ZNF200","AluYa5",0.00189401864023874,-0.612432290724882,0.0361933587435167,"ZNF200-AluYa5","old","young","old-young","Alu"
"ZNF200","AluYb8",0.00297743658262801,-0.591069068487375,0.0464191799006478,"ZNF200-AluYb8","old","young","old-young","Alu"
"ZNF200","AluYb9",0.0237433238250637,-0.469678792557622,0.144963208467682,"ZNF200-AluYb9","old","young","old-young","Alu"
"ZNF200","AluYd8",0.0142315534133914,-0.503866198318406,0.109444762902476,"ZNF200-AluYd8","old","young","old-young","Alu"
"ZNF200","AluYg6",0.00117232091502443,-0.633552309502459,0.0277616910590471,"ZNF200-AluYg6","old","young","old-young","Alu"
"ZNF200","AluYk4",0.0188559426783735,-0.485485269389785,0.127765266768979,"ZNF200-AluYk4","old","young","old-young","Alu"
"ZNF112","HERV30-int",0.0479596179225963,-0.416646655831514,0.213395818534088,"ZNF112-HERV30-int","old","old","old-old","ERV1"
"ZNF112","L1MA10",0.000351155554453456,-0.680630160897548,0.0142500788930711,"ZNF112-L1MA10","old","old","old-old","L1"
"ZNF112","L1MA2",0.00419254564226869,-0.573876300415711,0.0559601413727415,"ZNF112-L1MA2","old","old","old-old","L1"
"ZNF112","L1MA4",0.00736391299128067,-0.543418713053393,0.0764346898304472,"ZNF112-L1MA4","old","old","old-old","L1"
"ZNF112","L1MA4A",0.0220907873019843,-0.474702632708454,0.139228361498702,"ZNF112-L1MA4A","old","old","old-old","L1"
"ZNF112","L1MA5A",0.0125090529122827,-0.511979764969895,0.102036533325006,"ZNF112-L1MA5A","old","old","old-old","L1"
"ZNF112","L1MA6",0.000183090892876749,-0.703005073053727,0.0101206441593265,"ZNF112-L1MA6","old","old","old-old","L1"
"ZNF112","L1MC2",0.00584249136213485,-0.556277223046058,0.0672871961330952,"ZNF112-L1MC2","old","old","old-old","L1"
"ZNF112","L1MEg",0.0258602661779302,-0.463638045384062,0.151882307434012,"ZNF112-L1MEg","old","old","old-old","L1"
"ZNF112","L1P4",0.0428985113199486,-0.425593973773554,0.200570795264111,"ZNF112-L1P4","old","old","old-old","L1"
"ZNF112","L1PA3",0.00718409708534865,-0.544816286767157,0.0753761830554815,"ZNF112-L1PA3","old","old","old-old","L1"
"ZNF112","LTR59",0.0175340300640315,-0.490326845152444,0.12265557469497,"ZNF112-LTR59","old","young","old-young","ERV1"
"ZNF37A","Arthur1",0.010762058517985,-0.521204845114694,0.0941932053920112,"ZNF37A-Arthur1","old","old","old-old","hAT-Tip100"
"ZNF37A","Charlie10",0.00785539682471508,-0.539738296611267,0.0791513107204925,"ZNF37A-Charlie10","old","old","old-old","hAT-Charlie"
"ZNF37A","Charlie21a",0.0427937750362005,-0.425787656125769,0.200292620750838,"ZNF37A-Charlie21a","old","old","old-old","hAT-Charlie"
"ZNF37A","Charlie2a",0.0468020496881343,-0.418625668873339,0.210421787205958,"ZNF37A-Charlie2a","old","old","old-old","hAT-Charlie"
"ZNF37A","Charlie5",0.00561875618609243,-0.558398082367446,0.065888737264282,"ZNF37A-Charlie5","old","old","old-old","hAT-Charlie"
"ZNF37A","Eulor8",0.0257151192077445,-0.464039312520023,0.151401376009642,"ZNF37A-Eulor8","old","old","old-old","Tc1-Mariner"
"ZNF37A","HERVP71A-int",0.0169435321092757,-0.492585802981066,0.120308609712805,"ZNF37A-HERVP71A-int","old","old","old-old","ERV1"
"ZNF37A","Kanga1a",0.0105874163983444,-0.522193353148865,0.09332599498403,"ZNF37A-Kanga1a","old","old","old-old","TcMar-Tc2"
"ZNF37A","L1ME4a",0.017942780320113,-0.488799061078644,0.124249346486789,"ZNF37A-L1ME4a","old","old","old-old","L1"
"ZNF37A","LTR16D",0.031090124756965,-0.450253185340762,0.16811884336026,"ZNF37A-LTR16D","old","old","old-old","ERVL"
"ZNF37A","LTR17",0.0207987654509035,-0.478845747012247,0.13464826647836,"ZNF37A-LTR17","old","young","old-young","ERV1"
"ZNF37A","LTR22",0.0486936057601369,-0.415410986004385,0.215193997070924,"ZNF37A-LTR22","old","young","old-young","ERVK"
"ZNF37A","LTR26B",0.0052751339966364,-0.561796940068148,0.0636061760475815,"ZNF37A-LTR26B","old","old","old-old","ERV1"
"ZNF37A","LTR48B",0.00194935982749011,-0.611115657541512,0.0367420422896105,"ZNF37A-LTR48B","old","old","old-old","ERV1"
"ZNF37A","LTR71B",0.0208677338297283,-0.47861941742552,0.134892750933127,"ZNF37A-LTR71B","old","young","old-young","ERV1"
"ZNF37A","LTR72B",0.00359380597073275,-0.581732873323646,0.0514061354731597,"ZNF37A-LTR72B","old","old","old-old","ERV1"
"ZNF37A","LTR77",0.0147271385896329,-0.501681089179952,0.11154236896852,"ZNF37A-LTR77","old","old","old-old","ERV1"
"ZNF37A","LTR79",0.0343571836838824,-0.442777915723145,0.177701526246116,"ZNF37A-LTR79","old","old","old-old","ERVL"
"ZNF37A","LTR81",0.00268680778731302,-0.596050818071619,0.043873913082031,"ZNF37A-LTR81","old","old","old-old","Gypsy"
"ZNF37A","LTR82A",0.0440773905065555,-0.423439063744447,0.203659697962393,"ZNF37A-LTR82A","old","old","old-old","ERVL"
"ZNF37A","MARNA",0.0129652873355576,-0.509745855072577,0.10401343042356,"ZNF37A-MARNA","old","old","old-old","TcMar-Mariner"
"ZNF37A","MER106B",0.0222237061405883,-0.474287569943771,0.139689328286674,"ZNF37A-MER106B","old","old","old-old","hAT-Charlie"
"ZNF37A","MER110",0.00266529206519624,-0.596437453165955,0.0436979523953478,"ZNF37A-MER110","old","old","old-old","ERV1"
"ZNF37A","MER135",0.0394012153731482,-0.432272153580342,0.19174117657556,"ZNF37A-MER135","old","old","old-old","DNA"
"ZNF37A","MER34",0.0276924635199036,-0.458721597620359,0.157760480871563,"ZNF37A-MER34","old","old","old-old","ERV1"
"ZNF37A","MER34A1",0.0419930081739953,-0.427280863086151,0.198313059139373,"ZNF37A-MER34A1","old","old","old-old","ERV1"
"ZNF37A","MER34C_",0.0225378039424328,-0.473314625507314,0.140750372267885,"ZNF37A-MER34C_","old","old","old-old","ERV1"
"ZNF37A","MER44C",0.0033801738720989,-0.584804327394717,0.0497273798585136,"ZNF37A-MER44C","old","old","old-old","TcMar-Tigger"
"ZNF37A","MER49",0.0238985081639043,-0.469221603021115,0.145457842406939,"ZNF37A-MER49","old","old","old-old","ERV1"
"ZNF37A","MER4A",0.0114044442983648,-0.517678719183248,0.0970571896583532,"ZNF37A-MER4A","old","old","old-old","ERV1"
"ZNF37A","MER63C",0.0188047990266071,-0.48566738995791,0.127586206332015,"ZNF37A-MER63C","old","old","old-old","hAT-Blackjack"
"ZNF37A","MER66B",0.0235715771940871,-0.470187582265339,0.144385303875365,"ZNF37A-MER66B","old","young","old-young","ERV1"
"ZNF37A","MER83",0.000663332581643451,-0.656784678427958,0.0203591533577894,"ZNF37A-MER83","old","old","old-old","ERV1"
"ZNF37A","MER94B",0.00760876534690964,-0.541560514576499,0.0777352340425757,"ZNF37A-MER94B","old","old","old-old","hAT-Blackjack"
